        64       1204         78 
 Hello my name is Ayushiba.....        79       1030         60 
 Hello my name is Ayushiba.....        62       1117         74 
 Hello my name is Ayushiba.....        79       1267         89 
 Hello my name is Ayushiba.....        74       1460         62 
 Hello my name is Ayushiba.....        94       1256         73 
 Hello my name is Ayushiba.....        79       1170         89 
 Hello my name is Ayushiba.....        77       1461         73 
 Hello my name is Ayushiba.....        81        995         62 
 Hello my name is Ayushiba.....        70       1213         63 
 Hello my name is Ayushiba.....        80       1466         81 
 Hello my name is Ayushiba.....        63       1289        100 
 Hello my name is Ayushiba.....        80        985         65 
 Hello my name is Ayushiba.....        99       1014         79 
 Hello my name is Ayushiba.....        99       1492         98 
 Hello my name is Ayushiba.....        72       1148         88 
 Hello my name is Ayushiba.....        92       1085         73 
 Hello my name is Ayushiba.....        99        962         84 
 Hello my name is Ayushiba.....        79       1140         76 
 Hello my name is Ayushiba.....        84       1133         92 
 Hello my name is Ayushiba.....        82       1331         69 
 Hello my name is Ayushiba.....        98       1269         89 
 Hello my name is Ayushiba.....        75       1496         81 
 Hello my name is Ayushiba.....        77       1088         66 
 Hello my name is Ayushiba.....        69        923         82 
 Hello my name is Ayushiba.....        84       1468         87 
 Hello my name is Ayushiba.....        77        927        100 
 Hello my name is Ayushiba.....        98       1113        100 
 Hello my name is Ayushiba.....        82       1044         63 
 Hello my name is Ayushiba.....        95       1303         70 
 Hello my name is Ayushiba.....        64       1357         65 
 Hello my name is Ayushiba.....        63       1395         78 
 Hello my name is Ayushiba.....        94       1225         99 
 Hello my name is Ayushiba.....        79       1361         69 
 Hello my name is Ayushiba.....        94       1413         93 
 Hello my name is Ayushiba.....        80       1460         77 
 Hello my name is Ayushiba.....        95       1459         87 
 Hello my name is Ayushiba.....        90       1132         67 
 Hello my name is Ayushiba.....        64       1170         63 
 Hello my name is Ayushiba.....        74       1139         60 
 Hello my name is Ayushiba.....        67       1272         90 
 Hello my name is Ayushiba.....        75       1134         63 
 Hello my name is Ayushiba.....        65        958         73 
 Hello my name is Ayushiba.....        64        921         60 
 Hello my name is Ayushiba.....        67        974         82 
 Hello my name is Ayushiba.....        81       1055        100 
 Hello my name is Ayushiba.....        95       1278         75 
 Hello my name is Ayushiba.....        92       1246         67 
 Hello my name is Ayushiba.....        86       1067         66 
 Hello my name is Ayushiba.....        69       1092         64 
 Hello my name is Ayushiba.....        61        919         99 
 Hello my name is Ayushiba.....        92       1438         74 
 Hello my name is Ayushiba.....        98        946         66 
 Hello my name is Ayushiba.....        98       1222         85 
 Hello my name is Ayushiba.....        68       1424         74 
 Hello my name is Ayushiba.....        72       1040         75 
 Hello my name is Ayushiba.....        93       1072         88 
 Hello my name is Ayushiba.....        67       1373         65 
 Hello my name is Ayushiba.....        77       1446        100 
 Hello my name is Ayushiba.....        80       1002         90 
 Hello my name is Ayushiba.....        93       1268         79 
 Hello my name is Ayushiba.....        66       1142         85 
 Hello my name is Ayushiba.....        82        949         62 
 Hello my name is Ayushiba.....        95       1461         72 
 Hello my name is Ayushiba.....        88       1385         99 
 Hello my name is Ayushiba.....        87       1021         73 
 Hello my name is Ayushiba.....        85       1312         84 
 Hello my name is Ayushiba.....        90       1229         96 
 Hello my name is Ayushiba.....        68       1105         83 
 Hello my name is Ayushiba.....        70       1399         66 
 Hello my name is Ayushiba.....        80       1472         66 
 Hello my name is Ayushiba.....        62       1435         62 
 Hello my name is Ayushiba.....        89       1204         72 
 Hello my name is Ayushiba.....        74       1371         99 
 Hello my name is Ayushiba.....        91       1470         75 
 Hello my name is Ayushiba.....        61       1461         76 
 Hello my name is Ayushiba.....        95       1204         82 
 Hello my name is Ayushiba.....        91       1272         73 
 Hello my name is Ayushiba.....        73        997         72 
 Hello my name is Ayushiba.....        60       1441         74 
 Hello my name is Ayushiba.....        99       1299         76 
 Hello my name is Ayushiba.....        80       1430         62 
 Hello my name is Ayushiba.....        77       1037         72 
 Hello my name is Ayushiba.....        99       1254         71 
 Hello my name is Ayushiba.....        70       1044         75 
 Hello my name is Ayushiba.....        70       1173         72 
 Hello my name is Ayushiba.....        79       1327        100 
 Hello my name is Ayushiba.....        64        917         96 
 Hello my name is Ayushiba.....        77       1085         75 
 Hello my name is Ayushiba.....        65       1090         93 
 Hello my name is Ayushiba.....        93       1429         71 
 Hello my name is Ayushiba.....        66       1308         73 
 Hello my name is Ayushiba.....        85       1193         77 
 Hello my name is Ayushiba.....        61       1044         96 
 Hello my name is Ayushiba.....        92       1421         62 
 Hello my name is Ayushiba.....        82       1071         78 
 Hello my name is Ayushiba.....        82        952         99 
 Hello my name is Ayushiba.....        99       1051         65 
 Hello my name is Ayushiba.....        95       1130         91 
 Hello my name is Ayushiba.....        75       1497         63 
 Hello my name is Ayushiba.....        90       1004         87 
 Hello my name is Ayushiba.....        69       1326         97 
 Hello my name is Ayushiba.....        78        934         81 
 Hello my name is Ayushiba.....        80       1040         68 
 Hello my name is Ayushiba.....        91       1431         88 
 Hello my name is Ayushiba.....        99       1351         75 
 Hello my name is Ayushiba.....        89       1046         62 
 Hello my name is Ayushiba.....        63       1036         91 
 Hello my name is Ayushiba.....        62       1065         72 
 Hello my name is Ayushiba.....        74        984         63 
